token,frequency
ranking,18
flexibility,17
stride,17
1024,17
practice,17
independent,17
tiny,17
explicitly,17
proper,17
moved,17
nothing,17
resolve,17
recent,17
segmentmerger,17
bad,17
occur,17
docids,17
bucket,17
processing,17
library,17
inefficient,17
dwpt,17
includes,17
whenever,17
hook,17
lz4,17
couple,17
usually,17
hierarchy,17
separately,17
extending,17
consumption,17
item,17
significantly,17
moment,17
fieldtype,17
wanted,17
except,17
normal,17
towards,17
pick,17
handled,17
specifically,17
documentation,17
equivalent,17
fill,17
prior,17
querying,17
compatible,17
view,17
worth,17
builder,17
trivial,17
affect,17
heavy,17
pipeline,17
returned,16
average,16
closed,16
indexoutput,16
extended,16
applies,16
bufferedindexinput,16
keeping,16
calculation,16
boundary,16
unifiedhighlighter,16
representation,16
overlay,16
someone,16
maintain,16
memoryindex,16
elasticsearch,16
area,16
correctly,16
correct,16
partition,16
attach,16
sequential,16
prevent,16
128,16
mergepolicy,16
regular,16
anymore,16
inner,16
window,16
fieldcomparator,16
multireader,16
progress,16
appear,16
processor,16
developer,16
known,16
hash,16
machine,16
event,16
stemming,16
pending,16
drillsideways,16
included,16
bug,16
safe,15
sortfield,15
empty,15
tried,15
mike,15
temporary,15
freq,15
anyway,15
properly,15
question,15
year,15
leave,15
duplicate,15
checked,15
others,15
creation,15
copying,15
intersection,15
collectormanager,15
retrieving,15
reverse,15
limited,15
starting,15
deleting,15
effect,15
caller,15
loop,15
developed,15
termquery,15
experiment,15
ctor,15
fieldinfos,15
follows,15
stats,15
tell,15
app,15
priorityqueue,15
specialized,15
minimize,15
quote,15
potential,15
noticed,15
datainput,15
schema,15
depend,15
leverage,15
stop,15
wait,15
verify,15
release,14
page,14
pulsing,14
assume,14
segmentinfos,14
ref,14
local,14
introduces,14
left,14
auto,14
throughput,14
seem,14
threaded,14
half,14
beginning,14
generated,14
foundation,14
choice,14
wikipedia,14
incomplete,14
twice,14
frequent,14
keyword,14
compact,14
ideal,14
distribution,14
somehow,14
scoredocs,14
produced,14
comparison,14
guarantee,14
got,14
advanced,14
select,14
latter,14
trade,14
descriptor,14
decrease,14
mind,14
arbitrary,14
relies,14
interested,14
associated,14
baseline,14
fieldinfo,14
light,14
geopointfield,14
console,14
po,14
idf,14
junit,14
cutover,14
thinking,14
javadocs,14
xml,14
chunk,14
indexwriterconfig,14
front,14
collected,14
matter,14
computation,14
additionally,14
job,14
native,14
rely,14
older,14
recall,14
feel,14
parsing,14
replication,14
visitor,14
distinct,14
mentioned,14
docidset,14
contained,13
pull,13
scoredoc,13
engine,13
geometry,13
aspect,13
